Nombre cliente,aviso_padre, IDaviso,Provincia,Ciudad,Zona/colonia,Zona aviso,Tipo de operación,Tipo de propiedad,Tipo de aviso,Destaque,Moneda,Precio,Mt2 totales,Ambientes,Habitaciones,Impresiones,Visitas,Leads,Calidad
CRESTALE PROPIEDADES S.A.,NO,55326404,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Apartamento,Desarrollos,Super Destacado,USD,$86.076,35,2,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55326405,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Apartamento,Desarrollos,Super Destacado,USD,$60.000,70,1,0,0,6,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55326626,Santa Fe,Rosario,Distrito Centro,,Venta,Garage,Avisos,Super Destacado,USD,$15.000,16,0,0,3.429,33,1,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55327092,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,1.232,25,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327095,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Garage,Desarrollos,Super Destacado,USD,$17.000,12,0,0,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327097,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Garage,Desarrollos,Super Destacado,USD,$19.000,11,0,0,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327098,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Garage,Desarrollos,Super Destacado,USD,$18.000,11,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327099,Santa Fe,Rosario,Distrito Centro,Martín,Venta,Garage,Desarrollos,Super Destacado,USD,$13.000,12,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55327100,Santa Fe,Rosario,Distrito Centro,,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,1.529,10,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327102,Santa Fe,Rosario,Distrito Centro,,Venta,Garage,Desarrollos,Super Destacado,USD,$20.000,12,0,0,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55327104,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,1.936,16,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55327107,Santa Fe,Rosario,Distrito Centro,,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,2.062,13,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327108,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Garage,Desarrollos,Super Destacado,USD,$20.000,12,0,0,0,6,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327109,Santa Fe,Rosario,Distrito Centro,Abasto,Venta,Garage,Desarrollos,Super Destacado,USD,$20.000,12,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327110,Santa Fe,Rosario,Distrito Centro,,Venta,Garage,Desarrollos,Super Destacado,USD,$18.000,12,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327111,Santa Fe,Rosario,Distrito Centro,,Venta,Garage,Desarrollos,Super Destacado,USD,$18.000,12,0,0,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55327112,Santa Fe,Rosario,Distrito Centro,Martín,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,2.121,17,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55327113,Santa Fe,Rosario,Distrito Centro,Martín,Venta,Garage,Desarrollos,Super Destacado,USD,$15.376,12,0,0,0,2,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,54389749,Santa Fe,Roldán,Tierra de Sueños III,,Venta,Casa,Avisos,Super Destacado,USD,$55.000,360,1,0,1.155,66,4,Completo
CRESTALE PROPIEDADES S.A.,SI,55331744,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Avisos,Super Destacado,USD,$290.000,408,4,6,2.227,37,,Completo
CRESTALE PROPIEDADES S.A.,SI,55331851,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Apartamento,Avisos,Super Destacado,USD,$116.000,75,3,4,3.034,20,,Completo
CRESTALE PROPIEDADES S.A.,SI,55332167,Santa Fe,Rosario,Distrito Centro,Martín,Venta,Apartamento,Avisos,Super Destacado,USD,$224.900,118,4,6,1.786,13,,Completo
CRESTALE PROPIEDADES S.A.,NO,55332283,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$105.000,56,3,2,0,2,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55332712,Santa Fe,Rosario,Distrito Centro,Martín,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,2.413,19,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55333493,Santa Fe,Rosario,Distrito Centro,Nuestra Señora de Lourdes,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,2.721,22,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55339881,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Avisos,Simple,USD,$105.000,56,3,4,183,2,,Completo
CRESTALE PROPIEDADES S.A.,SI,55341093,Santa Fe,Rosario,Distrito Centro,Luis Agote,Venta,Apartamento,Avisos,Super Destacado,USD,$68.000,62,2,2,1.825,17,,Completo
CRESTALE PROPIEDADES S.A.,NO,55342115,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$123.278,68,2,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55342202,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$109.241,63,2,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,54409050,Santa Fe,Funes,Vida,,Venta,Casa,Avisos,Super Destacado,USD,$650.000,800,8,12,2.446,29,,Completo
CRESTALE PROPIEDADES S.A.,NO,54416521,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$193.200,54,2,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416868,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$254.100,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416869,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$251.700,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55342298,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$141.359,92,3,2,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55342415,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$172.713,95,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55342743,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$165.591,89,3,2,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55342744,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$94.404,72,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55342745,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$172.936,63,2,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55343322,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$141.319,72,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,55343323,Santa Fe,Rosario,Distrito Centro,República de la Sexta,Venta,Apartamento,Desarrollos,Super Destacado,USD,$116.265,63,2,1,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,55347454,Santa Fe,Rosario,Distrito Centro,,Venta,Apartamento,Avisos,Super Destacado,USD,$105.953,48,2,2,1.634,10,,Completo
CRESTALE PROPIEDADES S.A.,NO,54416980,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$260.900,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416981,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$263.300,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416982,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$251.100,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416983,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$255.700,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416984,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$255.700,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416985,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$260.300,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416986,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$258.700,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54416987,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$257.900,79,3,2,0,0,,Sin Datos
